url	first_seen	portal	title	company	status	location
https://careers.sweetgreen.com/jobs/7968215?gh_jid=7968215	2026-07-08	greenhouse-api	Regional Supply Manager	Sweetgreen	added	Remote	
https://careers.formlabs.com/job/7991806/apply/?gh_jid=7991806	2026-07-08	greenhouse-api	Head of Supply Planning	Formlabs	added	Somerville, MA	
https://jobs.ashbyhq.com/whoop/55291eaf-d669-45d0-acee-2add49b07d46	2026-07-08	ashby-api	Director of Procurement (Hardware)	WHOOP	added	Boston, MA	
https://jobs.ashbyhq.com/benchling/1b947544-d8cb-446b-89dd-377b2642d31f	2026-07-08	ashby-api	Technical Account Manager	Benchling	added	Boston, MA	
https://jobs.ashbyhq.com/benchling/29392bd3-ec2a-4017-925b-10975ba09054	2026-07-08	ashby-api	Strategic Account Executive	Benchling	added	San Diego, CA	
https://jobs.ashbyhq.com/benchling/77e774c8-b0ed-4a87-8e25-60f9a0105f62	2026-07-08	ashby-api	Enterprise Account Executive	Benchling	added	Boston, MA · New York, NY · New York · US · Philadelphia, PA · Philadelphia · United States	
https://jobs.ashbyhq.com/benchling/d897a65f-eddf-4b45-ade1-029b0c029b95	2026-07-08	ashby-api	SMB Account Executive	Benchling	added	San Francisco, CA	
https://jobs.ashbyhq.com/cradlebio/07b4fd84-7dcf-4e31-a1f5-c2cff0e44f78	2026-07-08	ashby-api	Account Executive, Global Accounts	Cradle	added	Boston · US East (Remote) · US	
https://jobs.ashbyhq.com/benchling/a7e9452b-b702-4818-9e2a-3315bf7861ca	2026-07-08	ashby-api	Strategic Account Executive	Benchling	added	San Francisco, CA	
https://www.zipline.com/open-roles?gh_jid=7786959003	2026-07-08	greenhouse-api	Senior Hardware Recruiting Partner	Zipline	added	South San Francisco, California, USA	
https://careers.formlabs.com/job/8041515/apply/?gh_jid=8041515	2026-07-08	greenhouse-api	Product Manager, Hardware	Formlabs	added	Somerville, MA	
https://careers.formlabs.com/job/8041518/apply/?gh_jid=8041518	2026-07-08	greenhouse-api	Senior Product Manager, Hardware	Formlabs	added	Somerville, MA	
https://jobs.ashbyhq.com/lambda/aedcfc9e-c2ad-4e69-8962-1ffe1f455ba1	2026-07-08	ashby-api	Data Center Facility Telemetry & Controls Engineer	Lambda	added	Remote, USA · San Jose Office (Zanker) · San Jose · United States	
https://jobs.ashbyhq.com/benchling/7017bd54-cf7e-45cc-a6ee-580701f2b7fc	2026-07-08	ashby-api	Engineering Leader, Infrastructure	Benchling	added	San Francisco, CA	
https://jobs.ashbyhq.com/benchling/e7d8051d-d779-41b0-891f-0eb40c36a22c	2026-07-08	ashby-api	Strategic Account Executive	Benchling	added	Boston, MA	
https://jobs.ashbyhq.com/zip/1bbcaf79-2f1b-460e-a1e2-001734012f1a	2026-07-08	ashby-api	Commercial Account Manager	Zip	added	San Francisco	
https://jobs.ashbyhq.com/zip/2113e35a-8938-44b8-901f-17c60e7b199c	2026-07-08	ashby-api	Commercial Account Executive	Zip	added	San Francisco	
https://jobs.ashbyhq.com/zip/37f9d33b-ea1c-4305-bc29-3afc50019728	2026-07-08	ashby-api	Strategic Account Executive - Central	Zip	added	Remote - US · Remote - Minneapolis · Minneapolis · United States · Remote - Chicago · Chicago · Remote - Houston · Houston · Remote - Dallas · Dallas · Remote - Tennessee · Nashville	
